name,establishment_year,contact_info,city
Эксмо,1990-01-01,contact@eksmo.ru,Москва
АСТ,1989-01-01,info@ast.ru,Москва
Азбука-Аттикус,2002-01-01,support@azbukaattikus.ru,Москва
Эра,1993-01-01,contact@era.ru,Санкт-Петербург
Манн", Иванов и Фербер,1992-01-01,info@m-i-f.ru,Москва
Росмэн,1992-01-01,support@rosman.ru,Москва
Молодая гвардия,1993-01-01,info@youngguard.ru,Санкт-Петербург
Комсомольская правда,1941-01-01,contact@kp.ru,Москва
Питер,1991-01-01,support@piter.ru,Санкт-Петербург
Вече,1993-01-01,info@veche.ru,Москва
